data_origin;substance_id;matrix_id;min_value_ng_l;max_value_ng_l;point_value_ng_l;reference_id;DOI;Year;comments
literature;6:2fts;rww;;;3;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6409;10.1021/es703062f;2008;Table 2
literature;pfhxa;rww;;;1;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6410;10.1021/es703062f;2008;Table 2
literature;pfhpa;rww;;;2;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6411;10.1021/es703062f;2008;Table 2
literature;pfoa;rww;;;9;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6412;10.1021/es703062f;2008;Table 2
literature;pfda;rww;;;2;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6413;10.1021/es703062f;2008;Table 2
literature;pfbs;rww;;;1;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6414;10.1021/es703062f;2008;Table 2
literature;pfhxs;rww;;;5;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6415;10.1021/es703062f;2008;Table 2
literature;pfos;rww;;;33;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6416;10.1021/es703062f;2008;Table 2
literature;6:2fts;rww;;;7;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6417;10.1021/es703062f;2008;Table 2
literature;pfhpa;rww;;;10;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6418;10.1021/es703062f;2008;Table 2
literature;pfoa;rww;;;9;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6419;10.1021/es703062f;2008;Table 2
literature;pfhxs;rww;;;16;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6420;10.1021/es703062f;2008;Table 2
literature;pfos;rww;;;117;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6421;10.1021/es703062f;2008;Table 2
literature;pfds;rww;;;160;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6422;10.1021/es703062f;2008;Table 2
literature;6:2fts;rww;;;7;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6423;10.1021/es703062f;2008;Table 2
literature;pfhpa;rww;;;1;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6424;10.1021/es703062f;2008;Table 2
literature;pfoa;rww;;;9;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6425;10.1021/es703062f;2008;Table 2
literature;pfos;hwwt;;;7;R. Bossi et al, Environment International 34 (2008) 443-450 ;10.1016/j.envint.2007.10.002;2008;Table 3
literature;pfhxs;hwwt;;;17;R. Bossi et al, Environment International 34 (2008) 443-450 ;10.1016/j.envint.2007.10.002;2008;Table 3
literature;pfoa;hwwt;;;20;R. Bossi et al, Environment International 34 (2008) 443-450 ;10.1016/j.envint.2007.10.002;2008;Table 3
literature;pfna;hwwt;;;2;R. Bossi et al, Environment International 34 (2008) 443-450 ;10.1016/j.envint.2007.10.002;2008;Table 3
literature;pfos;hwwt;;;2;R. Bossi et al, Environment International 34 (2008) 443-450 ;10.1016/j.envint.2007.10.002;2008;Table 3
literature;pfhxs;hwwt;;;14;R. Bossi et al, Environment International 34 (2008) 443-450 ;10.1016/j.envint.2007.10.002;2008;Table 3
literature;pfna;hwwt;;;2;R. Bossi et al, Environment International 34 (2008) 443-450 ;10.1016/j.envint.2007.10.002;2008;Table 3
literature;pfos;hwwt;;;5;R. Bossi et al, Environment International 34 (2008) 443-450 ;10.1016/j.envint.2007.10.002;2008;Table 3
literature;pfhxs;hwwt;;;3;R. Bossi et al, Environment International 34 (2008) 443-450 ;10.1016/j.envint.2007.10.002;2008;Table 3
literature;pfoa;hwwt;;;15;R. Bossi et al, Environment International 34 (2008) 443-450 ;10.1016/j.envint.2007.10.002;2008;Table 3
literature;pfna;hwwt;;;1;R. Bossi et al, Environment International 34 (2008) 443-450 ;10.1016/j.envint.2007.10.002;2008;Table 3
literature;pfos;hwwt;;;7;R. Bossi et al, Environment International 34 (2008) 443-450 ;10.1016/j.envint.2007.10.002;2008;Table 3
literature;pfhxs;hwwt;;;4;R. Bossi et al, Environment International 34 (2008) 443-450 ;10.1016/j.envint.2007.10.002;2008;Table 3
literature;pfoa;hwwt;;;1;R. Bossi et al, Environment International 34 (2008) 443-450 ;10.1016/j.envint.2007.10.002;2008;Table 3
literature;pfna;hwwt;;;3;R. Bossi et al, Environment International 34 (2008) 443-450 ;10.1016/j.envint.2007.10.002;2008;Table 3
literature;pfos;hwwt;;;2;R. Bossi et al, Environment International 34 (2008) 443-450 ;10.1016/j.envint.2007.10.002;2008;Table 3
